road,point,traffic_percent,hour,currentSpeed,freeFlowSpeed 
western Distributor Westbound,"-33.86396,151.20436",31.746031746031743,08:30,43,63
western Distributor Westbound,"-33.8704,151.20326",0.0,08:30,62,62
western Distributor Westbound,"-33.87274,151.2033",0.0,08:30,62,62
western Distributor Westbound,"-33.87435,151.20108",0.0,08:30,61,61
western Distributor Westbound,"-33.87505,151.19639",23.728813559322038,08:30,45,59
western Distributor Westbound,"-33.87162,151.19295",23.728813559322038,08:30,45,59
Cahill Expressway Northbound,"-33.86161,151.21329",75.60975609756098,08:30,10,41
Cahill Expressway Northbound,"-33.8633,151.21326",75.60975609756098,08:30,10,41
Cahill Expressway Northbound,"-33.86155,151.21224",21.666666666666668,08:30,47,60
Cahill Expressway Northbound,"-33.86094,151.20603",0.0,08:30,60,60
Cahill Expressway Northbound,"-33.86024,151.20454",21.666666666666668,08:30,47,60
Cahill Expressway Northbound,"-33.86102,151.20515",21.666666666666668,08:30,47,60
Cahill Expressway southbound,"-33.84246,151.21116",45.76271186440678,08:30,32,59
Cahill Expressway southbound,"-33.84923,151.2126",27.118644067796616,08:30,43,59
Cahill Expressway southbound,"-33.85581,151.20858",27.118644067796616,08:30,43,59
Cahill Expressway southbound,"-33.86078,151.20649",27.118644067796616,08:30,43,59
Cahill Expressway southbound,"-33.86159,151.21311",27.118644067796616,08:30,43,59
City road southbound,"-33.88793,151.1929",19.999999999999996,08:30,24,30
City road nortbound,"-33.89009,151.18956",0.0,08:30,41,41
City road nortbound,"-33.88534,151.19436",19.999999999999996,08:30,24,30
Brisbane Water Drive Northbound,"-33.47617,151.32398",0.0,08:30,63,63
Brisbane Water Drive Northbound,"-33.4714,151.32045",0.0,08:30,63,63
Brisbane Water Drive Northbound,"-33.46413,151.31736",0.0,08:30,61,61
Brisbane Water Drive Northbound,"-33.45959,151.31325",0.0,08:30,61,61
Brisbane Water Drive Northbound,"-33.45029,151.3209",0.0,08:30,63,63
Brisbane Water Drive Northbound,"-33.44892,151.32664",0.0,08:30,63,63
Brisbane Water Drive Northbound,"-33.44818,151.32667",62.5,08:30,21,56
Brisbane Water Drive Northbound,"-33.44259,151.32917",21.42857142857143,08:30,44,56
Brisbane Water Drive Northbound,"-33.439,151.32764",62.5,08:30,21,56
Brisbane Water Drive Northbound,"-33.43709,151.32171",62.5,08:30,21,56
Brisbane Water Drive Northbound,"-33.43362,151.31611",15.217391304347828,08:30,39,46
Brisbane Water Drive Northbound,"-33.43002,151.31642",15.217391304347828,08:30,39,46
Brisbane Water Drive Southbound,"-33.42872,151.31688",0.0,08:30,55,55
Brisbane Water Drive Southbound,"-33.4332,151.31599",0.0,08:30,55,55
Brisbane Water Drive Southbound,"-33.43678,151.32096",15.217391304347828,08:30,39,46
Brisbane Water Drive Southbound,"-33.43889,151.32752",62.5,08:30,21,56
Brisbane Water Drive Southbound,"-33.44178,151.32935",21.42857142857143,08:30,44,56
Brisbane Water Drive Southbound,"-33.44829,151.32679",21.42857142857143,08:30,44,56
Brisbane Water Drive Southbound,"-33.45008,151.32285",0.0,08:30,63,63
Brisbane Water Drive Southbound,"-33.45922,151.31344",0.0,08:30,61,61
Brisbane Water Drive Southbound,"-33.46363,151.31673",0.0,08:30,63,63
Brisbane Water Drive Southbound,"-33.47091,151.32003",0.0,08:30,63,63
Brisbane Water Drive Southbound,"-33.47558,151.324",0.0,08:30,63,63
Burns Bay Road Northbound,"-33.83948,151.14547",0.0,08:30,70,70
Burns Bay Road Northbound,"-33.83168,151.14599",48.64864864864865,08:30,19,37
Burns Bay Road Northbound,"-33.82647,151.14894",0.0,08:30,64,64
Burns Bay Road Northbound,"-33.82259,151.14966",41.666666666666664,08:30,28,48
Burns Bay Road Northbound,"-33.8185,151.15124",13.725490196078427,08:30,44,51
Burns Bay Road Northbound,"-33.81458,151.15394",44.18604651162791,08:30,24,43
Burns Bay Road Northbound,"-33.81375,151.1601",0.0,08:30,43,43
Burns Bay Road Northbound,"-33.81485,151.1663",33.333333333333336,08:30,20,30
Burns Bay Road Southbound,"-33.81476,151.15401",0.0,08:30,42,42
Burns Bay Road Southbound,"-33.8185,151.15124",13.725490196078427,08:30,44,51
Burns Bay Road Southbound,"-33.82278,151.14977",13.725490196078427,08:30,44,51
Burns Bay Road Southbound,"-33.82653,151.14901",0.0,08:30,64,64
Burns Bay Road Southbound,"-33.83078,151.14614",0.0,08:30,64,64
Burns Bay Road Southbound,"-33.83867,151.1453",0.0,08:30,61,61
Camden Valley Way Northbound,"-34.05205,150.71013",13.793103448275868,08:30,50,58
Camden Valley Way Northbound,"-34.04739,150.71745",10.71428571428571,08:30,50,56
Camden Valley Way Northbound,"-34.04308,150.72659",10.71428571428571,08:30,50,56
Camden Valley Way Northbound,"-34.042,150.73097",13.793103448275868,08:30,50,58
Camden Valley Way Northbound,"-34.04004,150.73701",41.379310344827594,08:30,17,29
Camden Valley Way Northbound,"-34.04037,150.74456",31.666666666666664,08:30,41,60
Camden Valley Way Northbound,"-34.04313,150.75462",37.878787878787875,08:30,41,66
Camden Valley Way Northbound,"-34.04808,150.76201",32.35294117647059,08:30,46,68
Camden Valley Way Northbound,"-34.05371,150.77342",80.28169014084507,08:30,14,71
Camden Valley Way Northbound,"-34.05958,150.78113",0.0,08:30,68,68
Camden Valley Way Northbound,"-34.05802,150.79228",0.0,08:30,108,108
Camden Valley Way Northbound,"-34.05227,150.80992",0.0,08:30,108,108
Camden Valley Way Northbound,"-34.03904,150.82268",0.0,08:30,108,108
Camden Valley Way Northbound,"-34.01802,150.82484",19.999999999999996,08:30,84,105
Camden Valley Way Northbound,"-34.00503,150.83444",19.999999999999996,08:30,84,105
Camden Valley Way Northbound,"-33.99057,150.85192",19.999999999999996,08:30,84,105
Camden Valley Way Northbound,"-33.98106,150.86496",19.999999999999996,08:30,84,105
Camden Valley Way Northbound,"-33.96972,150.87398",19.999999999999996,08:30,84,105
Camden Valley Way Northbound,"-33.95767,150.87545",52.63157894736843,08:30,18,38
Camden Valley Way Northbound,"-33.95732,150.88236",27.27272727272727,08:30,32,44
Camden Valley Way Southbound,"-33.9578,150.88514",35.0,08:30,26,40
Camden Valley Way Southbound,"-33.95938,150.88165",31.999999999999996,08:30,34,50
Camden Valley Way Southbound,"-33.96264,150.87806",23.636363636363633,08:30,42,55
Camden Valley Way Southbound,"-33.96977,150.87448",0.0,08:30,84,84
Camden Valley Way Southbound,"-33.98025,150.86694",0.0,08:30,105,105
Camden Valley Way Southbound,"-33.98927,150.85335",0.0,08:30,105,105
Camden Valley Way Southbound,"-34.00056,150.84294",0.0,08:30,105,105
Camden Valley Way Southbound,"-34.01272,150.82789",0.0,08:30,105,105
Camden Valley Way Southbound,"-34.0297,150.82413",0.0,08:30,105,105
Camden Valley Way Southbound,"-34.04615,150.81933",0.0,08:30,105,105
Camden Valley Way Southbound,"-34.05463,150.80402",0.0,08:30,105,105
Camden Valley Way Southbound,"-34.05997,150.78905",0.0,08:30,67,67
Camden Valley Way Southbound,"-34.06385,150.78506",0.0,08:30,67,67
Camden Valley Way Southbound,"-34.06194,150.78518",29.824561403508774,08:30,40,57
Camden Valley Way Southbound,"-34.05627,150.77738",25.67567567567568,08:30,55,74
Camden Valley Way Southbound,"-34.05294,150.76978",0.0,08:30,66,66
Camden Valley Way Southbound,"-34.04699,150.76016",17.333333333333336,08:30,62,75
Camden Valley Way Southbound,"-34.04154,150.74838",17.333333333333336,08:30,62,75
Camden Valley Way Southbound,"-34.03972,150.73849",20.93023255813954,08:30,34,43
Camden Valley Way Southbound,"-34.04201,150.73104",8.771929824561408,08:30,52,57
Camden Valley Way Southbound,"-34.04334,150.72677",8.771929824561408,08:30,52,57
Camden Valley Way Southbound,"-34.04739,150.71745",10.71428571428571,08:30,50,56
Camden Valley Way Southbound,"-34.05217,150.70991",10.71428571428571,08:30,50,56
Sunnyholt Road Northbound,"-33.77026,150.91197",32.35294117647059,08:30,23,34
Sunnyholt Road Northbound,"-33.76497,150.91281",57.57575757575757,08:30,14,33
Sunnyholt Road Northbound,"-33.75653,150.91455",21.42857142857143,08:30,44,56
Sunnyholt Road Northbound,"-33.75087,150.91567",0.0,08:30,42,42
Sunnyholt Road Northbound,"-33.7427,150.91713",19.14893617021277,08:30,38,47
Sunnyholt Road Northbound,"-33.73711,150.9184",30.508474576271183,08:30,41,59
Sunnyholt Road Northbound,"-33.7289,150.92255",60.0,08:30,20,50
Sunnyholt Road Northbound,"-33.72465,150.92839",0.0,08:30,66,66
Sunnyholt Road Northbound,"-33.72076,150.93618",70.37037037037037,08:30,8,27
Sunnyholt Road Southbound,"-33.72173,150.93187",23.809523809523814,08:30,48,63
Sunnyholt Road Southbound,"-33.72803,150.924",0.0,08:30,56,56
Sunnyholt Road Southbound,"-33.73481,150.91967",34.09090909090909,08:30,29,44
Sunnyholt Road Southbound,"-33.74013,150.9176",31.818181818181824,08:30,30,44
Sunnyholt Road Southbound,"-33.74782,150.91641",0.0,08:30,56,56
Sunnyholt Road Southbound,"-33.75459,150.91503",21.818181818181813,08:30,43,55
Sunnyholt Road Southbound,"-33.76263,150.91352",50.0,08:30,22,44
Sunnyholt Road Southbound,"-33.76971,150.9122",50.0,08:30,22,44
O'riordan Street northbound,"-33.9285,151.18708",0.0,08:30,38,38
O'riordan Street northbound,"-33.92426,151.19055",62.06896551724138,08:30,11,29
O'riordan Street northbound,"-33.91895,151.19291",22.72727272727273,08:30,34,44
O'riordan Street northbound,"-33.91335,151.19641",22.72727272727273,08:30,34,44
O'riordan Street northbound,"-33.90554,151.20279",78.78787878787878,08:30,7,33
O'riordan Street southbound,"-33.9162,151.19465",20.512820512820518,08:30,31,39
O'riordan Street southbound,"-33.92086,151.19176",20.512820512820518,08:30,31,39
O'riordan Street southbound,"-33.92586,151.18911",36.111111111111114,08:30,23,36
O'riordan Street southbound,"-33.93032,151.18673",75.0,08:30,9,36
head street nortbound,"-37.89202,144.99303",36.170212765957444,08:30,30,47
head street nortbound,"-37.89282,144.99973",0.0,08:30,34,34
head street southbound,"-37.89295,145.00028",0.0,08:30,34,34
head street southbound,"-37.89252,144.99672",44.680851063829785,08:30,26,47
head street southbound,"-37.89118,144.98588",12.962962962962965,08:30,47,54
putty road northbound,"-32.57418,151.16283",0.0,08:30,82,82
putty road northbound,"-32.59086,151.14878",0.0,08:30,82,82
putty road northbound,"-32.60715,151.14696",0.0,08:30,92,92
putty road northbound,"-32.61998,151.14607",0.0,08:30,82,82
putty road northbound,"-32.62536,151.13384",0.0,08:30,86,86
putty road northbound,"-32.6226,151.12372",0.0,08:30,95,95
putty road northbound,"-32.61819,151.11234",0.0,08:30,95,95
putty road northbound,"-32.61754,151.10325",0.0,08:30,93,93
putty road northbound,"-32.61933,151.09689",0.0,08:30,89,89
putty road northbound,"-32.63105,151.09461",0.0,08:30,89,89
putty road northbound,"-32.63295,151.06201",0.0,08:30,91,91
putty road northbound,"-32.64071,151.04879",0.0,08:30,91,91
putty road northbound,"-32.65013,151.02306",0.0,08:30,89,89
putty road northbound,"-32.65337,151.02135",0.0,08:30,89,89
putty road northbound,"-32.65998,151.0268",0.0,08:30,89,89
putty road northbound,"-32.67639,151.02263",0.0,08:30,89,89
putty road northbound,"-32.68765,151.01025",0.0,08:30,91,91
putty road northbound,"-32.6957,151.00332",0.0,08:30,77,77
putty road northbound,"-32.69455,150.98402",0.0,08:30,77,77
putty road northbound,"-32.69997,150.97072",0.0,08:30,78,78
putty road northbound,"-32.70417,150.95436",0.0,08:30,78,78
putty road northbound,"-32.70993,150.94861",0.0,08:30,77,77
putty road northbound,"-32.71578,150.94692",0.0,08:30,78,78
putty road northbound,"-32.72099,150.94474",0.0,08:30,77,77
putty road northbound,"-32.72591,150.94493",0.0,08:30,78,78
putty road northbound,"-32.73286,150.94042",0.0,08:30,78,78
putty road northbound,"-32.73815,150.93868",0.0,08:30,77,77
putty road northbound,"-32.74091,150.93339",0.0,08:30,77,77
putty road northbound,"-32.74441,150.93138",0.0,08:30,77,77
putty road northbound,"-32.74454,150.92581",0.0,08:30,77,77
putty road northbound,"-32.74872,150.92278",0.0,08:30,78,78
putty road northbound,"-32.75124,150.92147",0.0,08:30,77,77
putty road northbound,"-32.75468,150.92286",0.0,08:30,78,78
putty road northbound,"-32.75703,150.92448",0.0,08:30,77,77
putty road northbound,"-32.76121,150.92462",0.0,08:30,78,78
putty road northbound,"-32.76569,150.92481",0.0,08:30,77,77
putty road northbound,"-32.76919,150.92267",0.0,08:30,78,78
putty road northbound,"-32.77154,150.92106",0.0,08:30,77,77
putty road northbound,"-32.77499,150.9186",0.0,08:30,77,77
putty road northbound,"-32.77649,150.91624",0.0,08:30,77,77
putty road northbound,"-32.77759,150.91288",0.0,08:30,77,77
putty road northbound,"-32.77895,150.909",0.0,08:30,77,77
putty road northbound,"-32.77874,150.90484",0.0,08:30,78,78
putty road northbound,"-32.78361,150.89846",0.0,08:30,77,77
putty road northbound,"-32.78918,150.89949",0.0,08:30,78,78
putty road northbound,"-32.79317,150.90057",0.0,08:30,78,78
putty road northbound,"-32.79625,150.90066",0.0,08:30,78,78
putty road northbound,"-32.79853,150.89973",0.0,08:30,78,78
putty road northbound,"-32.80232,150.90132",0.0,08:30,77,77
putty road northbound,"-32.80276,150.89847",0.0,08:30,78,78
putty road northbound,"-32.80591,150.90159",0.0,08:30,77,77
putty road northbound,"-32.80699,150.89843",0.0,08:30,78,78
putty road northbound,"-32.80769,150.89667",0.0,08:30,77,77
putty road northbound,"-32.81231,150.8887",0.0,08:30,78,78
putty road northbound,"-32.81469,150.8795",0.0,08:30,77,77
putty road northbound,"-32.81393,150.87226",0.0,08:30,77,77
putty road northbound,"-32.81697,150.86711",0.0,08:30,77,77
putty road northbound,"-32.8263,150.86094",0.0,08:30,77,77
putty road northbound,"-32.83323,150.8535",0.0,08:30,77,77
putty road northbound,"-32.83747,150.85092",0.0,08:30,78,78
putty road northbound,"-32.84018,150.84406",0.0,08:30,78,78
putty road northbound,"-32.84525,150.83491",0.0,08:30,77,77
putty road northbound,"-32.8558,150.82767",0.0,08:30,77,77
putty road northbound,"-32.86665,150.82521",0.0,08:30,77,77
putty road northbound,"-32.87553,150.81569",0.0,08:30,77,77
putty road northbound,"-32.87579,150.79759",0.0,08:30,78,78
putty road northbound,"-32.87912,150.79114",0.0,08:30,86,86
putty road northbound,"-32.88059,150.78476",0.0,08:30,92,92
putty road northbound,"-32.88181,150.77702",0.0,08:30,92,92
putty road northbound,"-32.88658,150.77095",0.0,08:30,86,86
putty road northbound,"-32.89916,150.7581",0.0,08:30,86,86
putty road northbound,"-32.90989,150.74838",0.0,08:30,92,92
putty road northbound,"-32.91732,150.73185",0.0,08:30,92,92
putty road northbound,"-32.9184,150.72557",0.0,08:30,86,86
putty road northbound,"-32.92582,150.71548",0.0,08:30,92,92
putty road northbound,"-32.92614,150.7036",0.0,08:30,86,86
putty road northbound,"-32.92871,150.69699",0.0,08:30,86,86
putty road northbound,"-32.93007,150.7",0.0,08:30,92,92
putty road northbound,"-32.9333,150.69846",0.0,08:30,92,92
putty road northbound,"-32.94082,150.70196",0.0,08:30,92,92
putty road northbound,"-32.94509,150.7004",0.0,08:30,92,92
putty road northbound,"-32.95183,150.69495",0.0,08:30,86,86
putty road northbound,"-32.96443,150.6899",0.0,08:30,92,92
putty road northbound,"-32.97247,150.68847",0.0,08:30,92,92
putty road northbound,"-32.97892,150.68724",0.0,08:30,92,92
putty road northbound,"-32.9835,150.68582",0.0,08:30,92,92
putty road northbound,"-32.99316,150.68514",0.0,08:30,86,86
putty road northbound,"-33.00399,150.68478",0.0,08:30,92,92
putty road northbound,"-33.01257,150.67535",0.0,08:30,92,92
putty road northbound,"-33.02386,150.66914",0.0,08:30,92,92
putty road northbound,"-33.03785,150.67376",0.0,08:30,92,92
putty road northbound,"-33.04329,150.68168",0.0,08:30,92,92
putty road northbound,"-33.05142,150.68292",0.0,08:30,92,92
putty road northbound,"-33.05877,150.69649",0.0,08:30,86,86
putty road northbound,"-33.07008,150.69861",0.0,08:30,92,92
putty road northbound,"-33.08094,150.70953",0.0,08:30,92,92
putty road northbound,"-33.09161,150.69732",0.0,08:30,98,98
putty road northbound,"-33.10765,150.69458",0.0,08:30,92,92
putty road northbound,"-33.11883,150.69525",0.0,08:30,98,98
putty road northbound,"-33.12822,150.69108",0.0,08:30,92,92
putty road northbound,"-33.14084,150.68594",0.0,08:30,92,92
putty road northbound,"-33.15414,150.68999",0.0,08:30,98,98
putty road northbound,"-33.15905,150.69508",0.0,08:30,98,98
putty road northbound,"-33.17147,150.69418",0.0,08:30,92,92
putty road northbound,"-33.18816,150.69127",0.0,08:30,92,92
putty road northbound,"-33.2045,150.68271",0.0,08:30,92,92
putty road northbound,"-33.21945,150.67087",0.0,08:30,92,92
putty road northbound,"-33.2305,150.65905",0.0,08:30,98,98
putty road northbound,"-33.2356,150.64885",0.0,08:30,98,98
putty road northbound,"-33.24601,150.64981",0.0,08:30,92,92
putty road northbound,"-33.25606,150.65198",0.0,08:30,92,92
putty road northbound,"-33.26118,150.65757",0.0,08:30,98,98
putty road northbound,"-33.26284,150.66578",0.0,08:30,98,98
putty road northbound,"-33.26631,150.67123",0.0,08:30,92,92
putty road northbound,"-33.2674,150.67954",0.0,08:30,92,92
putty road northbound,"-33.26962,150.68643",0.0,08:30,85,85
putty road northbound,"-33.27684,150.68661",0.0,08:30,92,92
putty road northbound,"-33.2836,150.68959",0.0,08:30,85,85
putty road northbound,"-33.28808,150.69315",0.0,08:30,92,92
putty road northbound,"-33.29457,150.69237",0.0,08:30,85,85
putty road northbound,"-33.30237,150.70156",0.0,08:30,92,92
putty road northbound,"-33.31256,150.70037",0.0,08:30,85,85
putty road northbound,"-33.32161,150.70269",0.0,08:30,92,92
putty road northbound,"-33.32974,150.7013",0.0,08:30,85,85
putty road northbound,"-33.33839,150.70299",0.0,08:30,85,85
putty road northbound,"-33.34859,150.705",0.0,08:30,85,85
putty road northbound,"-33.35462,150.70482",0.0,08:30,79,79
putty road northbound,"-33.36328,150.70684",0.0,08:30,79,79
putty road northbound,"-33.3665,150.71365",0.0,08:30,85,85
putty road northbound,"-33.36794,150.72126",0.0,08:30,79,79
putty road northbound,"-33.368,150.72807",0.0,08:30,79,79
putty road northbound,"-33.37303,150.73079",0.0,08:30,85,85
putty road northbound,"-33.37384,150.73821",0.0,08:30,85,85
putty road northbound,"-33.37425,150.74518",0.0,08:30,85,85
putty road northbound,"-33.37781,150.75061",0.0,08:30,79,79
putty road northbound,"-33.38413,150.75273",0.0,08:30,85,85
putty road northbound,"-33.39117,150.7557",0.0,08:30,79,79
putty road northbound,"-33.40124,150.76343",0.0,08:30,79,79
putty road northbound,"-33.40166,150.77355",0.0,08:30,79,79
putty road northbound,"-33.40308,150.77773",0.0,08:30,79,79
putty road northbound,"-33.40467,150.78311",0.0,08:30,79,79
putty road northbound,"-33.40913,150.78739",0.0,08:30,85,85
putty road northbound,"-33.41262,150.79249",0.0,08:30,79,79
putty road northbound,"-33.41677,150.80291",0.0,08:30,79,79
putty road northbound,"-33.42019,150.81027",0.0,08:30,79,79
putty road northbound,"-33.42267,150.81551",0.0,08:30,79,79
putty road northbound,"-33.42232,150.8208",0.0,08:30,79,79
putty road northbound,"-33.42348,150.82636",0.0,08:30,79,79
putty road northbound,"-33.43033,150.82932",0.0,08:30,85,85
putty road northbound,"-33.43592,150.82862",0.0,08:30,77,77
putty road northbound,"-33.43414,150.82589",0.0,08:30,77,77
putty road northbound,"-33.43771,150.82551",0.0,08:30,77,77
putty road northbound,"-33.44441,150.82488",0.0,08:30,77,77
putty road northbound,"-33.44751,150.81787",0.0,08:30,79,79
putty road northbound,"-33.4571,150.81301",0.0,08:30,79,79
putty road northbound,"-33.46286,150.81168",0.0,08:30,79,79
putty road northbound,"-33.46638,150.81083",0.0,08:30,87,87
putty road northbound,"-33.47324,150.81692",0.0,08:30,89,89
putty road northbound,"-33.479,150.81845",0.0,08:30,87,87
putty road northbound,"-33.48633,150.81732",0.0,08:30,87,87
putty road northbound,"-33.49312,150.81831",0.0,08:30,87,87
putty road northbound,"-33.49851,150.81098",0.0,08:30,81,81
putty road northbound,"-33.50303,150.8105",0.0,08:30,80,80
putty road northbound,"-33.51023,150.82189",0.0,08:30,80,80
putty road northbound,"-33.51793,150.82501",0.0,08:30,82,82
putty road northbound,"-33.52465,150.82542",0.0,08:30,80,80
putty road northbound,"-33.53799,150.83615",0.0,08:30,80,80
putty road northbound,"-33.55047,150.83924",0.0,08:30,82,82
putty road northbound,"-33.56037,150.83774",0.0,08:30,62,62
putty road southbound,"-33.55725,150.83737",0.0,08:30,62,62
putty road southbound,"-33.54381,150.83947",0.0,08:30,82,82
putty road southbound,"-33.53027,150.83085",0.0,08:30,80,80
putty road southbound,"-33.52239,150.82486",0.0,08:30,80,80
putty road southbound,"-33.51527,150.82319",0.0,08:30,80,80
putty road southbound,"-33.5083,150.81948",0.0,08:30,82,82
putty road southbound,"-33.50119,150.80934",0.0,08:30,82,82
putty road southbound,"-33.49675,150.81488",0.0,08:30,79,79
putty road southbound,"-33.4912,150.81896",0.0,08:30,87,87
putty road southbound,"-33.48317,150.81665",0.0,08:30,87,87
putty road southbound,"-33.47662,150.81917",0.0,08:30,87,87
putty road southbound,"-33.47054,150.81447",0.0,08:30,87,87
putty road southbound,"-33.46485,150.81009",0.0,08:30,87,87
putty road southbound,"-33.46114,150.81393",0.0,08:30,79,79
putty road southbound,"-33.45384,150.81199",0.0,08:30,79,79
putty road southbound,"-33.44609,150.82015",0.0,08:30,77,77
putty road southbound,"-33.44144,150.82634",0.0,08:30,77,77
putty road southbound,"-33.43581,150.82484",0.0,08:30,77,77
putty road southbound,"-33.43493,150.82697",0.0,08:30,79,79
putty road southbound,"-33.43394,150.82819",0.0,08:30,85,85
putty road southbound,"-33.42776,150.83015",0.0,08:30,85,85
putty road southbound,"-33.42235,150.82424",0.0,08:30,85,85
putty road southbound,"-33.42255,150.81915",0.0,08:30,79,79
putty road southbound,"-33.42206,150.81283",0.0,08:30,79,79
putty road southbound,"-33.41936,150.8085",0.0,08:30,79,79
putty road southbound,"-33.41531,150.79834",0.0,08:30,85,85
putty road southbound,"-33.4119,150.79062",0.0,08:30,79,79
putty road southbound,"-33.40825,150.78545",0.0,08:30,79,79
putty road southbound,"-33.40425,150.78005",0.0,08:30,79,79
putty road southbound,"-33.40165,150.77746",0.0,08:30,79,79
putty road southbound,"-33.40192,150.77065",0.0,08:30,85,85
putty road southbound,"-33.39666,150.75931",0.0,08:30,79,79
putty road southbound,"-33.38973,150.75408",0.0,08:30,79,79
putty road southbound,"-33.38188,150.75204",0.0,08:30,85,85
putty road southbound,"-33.3759,150.74927",0.0,08:30,79,79
putty road southbound,"-33.37378,150.74306",0.0,08:30,79,79
putty road southbound,"-33.37355,150.73471",0.0,08:30,85,85
putty road southbound,"-33.37042,150.73",0.0,08:30,79,79
putty road southbound,"-33.36847,150.72424",0.0,08:30,85,85
putty road southbound,"-33.36733,150.71931",0.0,08:30,79,79
putty road southbound,"-33.36571,150.70944",0.0,08:30,85,85
putty road southbound,"-33.36067,150.70758",0.0,08:30,85,85
putty road southbound,"-33.35223,150.70382",0.0,08:30,79,79
putty road southbound,"-33.34501,150.70529",0.0,08:30,79,79
putty road southbound,"-33.33563,150.70323",0.0,08:30,79,79
putty road southbound,"-33.32684,150.703",0.0,08:30,92,92
putty road southbound,"-33.31888,150.70186",0.0,08:30,85,85
putty road southbound,"-33.30924,150.70164",0.0,08:30,92,92
putty road southbound,"-33.29963,150.70022",0.0,08:30,92,92
putty road southbound,"-33.29144,150.69182",0.0,08:30,85,85
putty road southbound,"-33.28626,150.691",0.0,08:30,92,92
putty road southbound,"-33.28063,150.68962",0.0,08:30,92,92
putty road southbound,"-33.27518,150.68629",0.0,08:30,92,92
putty road southbound,"-33.26821,150.68493",0.0,08:30,92,92
putty road southbound,"-33.26731,150.67633",0.0,08:30,92,92
putty road southbound,"-33.2649,150.66845",0.0,08:30,98,98
putty road southbound,"-33.26182,150.66164",0.0,08:30,98,98
putty road southbound,"-33.25926,150.65498",0.0,08:30,92,92
putty road southbound,"-33.25425,150.65028",0.0,08:30,92,92
putty road southbound,"-33.24289,150.64838",0.0,08:30,92,92
putty road southbound,"-33.23278,150.65363",0.0,08:30,98,98
putty road southbound,"-33.22809,150.66055",0.0,08:30,92,92
putty road southbound,"-33.21565,150.67691",0.0,08:30,98,98
putty road southbound,"-33.20068,150.68317",0.0,08:30,92,92
putty road southbound,"-33.18264,150.69317",0.0,08:30,92,92
putty road southbound,"-33.16436,150.6922",0.0,08:30,92,92
putty road southbound,"-33.15716,150.69509",0.0,08:30,92,92
putty road southbound,"-33.14507,150.68571",0.0,08:30,92,92
putty road southbound,"-33.13557,150.69196",0.0,08:30,98,98
putty road southbound,"-33.12153,150.68911",0.0,08:30,92,92
putty road southbound,"-33.11762,150.69743",0.0,08:30,98,98
putty road southbound,"-33.10513,150.69409",0.0,08:30,92,92
putty road southbound,"-33.08462,150.70765",0.0,08:30,92,92
putty road southbound,"-33.07876,150.70843",0.0,08:30,92,92
putty road southbound,"-33.06658,150.69829",0.0,08:30,98,98
putty road southbound,"-33.05414,150.68816",0.0,08:30,86,86
putty road southbound,"-33.04811,150.68206",0.0,08:30,92,92
putty road southbound,"-33.03889,150.67895",0.0,08:30,92,92
putty road southbound,"-33.03592,150.67277",0.0,08:30,92,92
putty road southbound,"-33.02125,150.66957",0.0,08:30,92,92
putty road southbound,"-33.00959,150.67702",0.0,08:30,86,86
putty road southbound,"-33.00183,150.68554",0.0,08:30,86,86
putty road southbound,"-32.98628,150.68667",0.0,08:30,86,86
putty road southbound,"-32.98166,150.68543",0.0,08:30,86,86
putty road southbound,"-32.97579,150.68532",0.0,08:30,86,86
putty road southbound,"-32.97,150.68881",0.0,08:30,92,92
putty road southbound,"-32.96049,150.69075",0.0,08:30,86,86
putty road southbound,"-32.94908,150.69696",0.0,08:30,86,86
putty road southbound,"-32.94375,150.7011",0.0,08:30,86,86
putty road southbound,"-32.93777,150.7007",0.0,08:30,92,92
putty road southbound,"-32.93149,150.69968",0.0,08:30,92,92
putty road southbound,"-32.9301,150.69772",0.0,08:30,86,86
putty road southbound,"-32.92829,150.69836",0.0,08:30,86,86
putty road southbound,"-32.92592,150.71045",0.0,08:30,86,86
putty road southbound,"-32.92367,150.71888",0.0,08:30,92,92
putty road southbound,"-32.91717,150.72825",0.0,08:30,86,86
putty road southbound,"-32.91377,150.73862",0.0,08:30,92,92
putty road southbound,"-32.90753,150.74848",0.0,08:30,86,86
putty road southbound,"-32.89307,150.76539",0.0,08:30,92,92
putty road southbound,"-32.88273,150.77427",0.0,08:30,92,92
putty road southbound,"-32.8825,150.77951",0.0,08:30,86,86
putty road southbound,"-32.88104,150.78689",0.0,08:30,86,86
putty road southbound,"-32.87792,150.79216",0.0,08:30,92,92
putty road southbound,"-32.87491,150.80679",0.0,08:30,78,78
putty road southbound,"-32.8746,150.81689",0.0,08:30,78,78
putty road southbound,"-32.86352,150.82782",0.0,08:30,77,77
putty road southbound,"-32.85021,150.83006",0.0,08:30,78,78
putty road southbound,"-32.84181,150.83852",0.0,08:30,77,77
putty road southbound,"-32.83828,150.84682",0.0,08:30,78,78
putty road southbound,"-32.83599,150.85158",0.0,08:30,78,78
putty road southbound,"-32.8316,150.8551",0.0,08:30,78,78
putty road southbound,"-32.82474,150.86285",0.0,08:30,78,78
putty road southbound,"-32.81621,150.86916",0.0,08:30,77,77
putty road southbound,"-32.81432,150.87604",0.0,08:30,77,77
putty road southbound,"-32.81365,150.88345",0.0,08:30,78,78
putty road southbound,"-32.81106,150.89035",0.0,08:30,77,77
